"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.268571428571429,1,"ArrowHead"
"Moments 1,2",2,0.257142857142857,1,"ArrowHead"
"Moments 1,2,3",3,0.434285714285714,1,"ArrowHead"
"Moments 1,2,3,4",4,0.468571428571429,1,"ArrowHead"
"catch22",24,0.662857142857143,1,"ArrowHead"
"Moment 1",1,0.314285714285714,2,"ArrowHead"
"Moments 1,2",2,0.337142857142857,2,"ArrowHead"
"Moments 1,2,3",3,0.451428571428571,2,"ArrowHead"
"Moments 1,2,3,4",4,0.64,2,"ArrowHead"
"catch22",24,0.714285714285714,2,"ArrowHead"
"Moment 1",1,0.285714285714286,3,"ArrowHead"
"Moments 1,2",2,0.36,3,"ArrowHead"
"Moments 1,2,3",3,0.382857142857143,3,"ArrowHead"
"Moments 1,2,3,4",4,0.525714285714286,3,"ArrowHead"
"catch22",24,0.685714285714286,3,"ArrowHead"
"Moment 1",1,0.331428571428571,4,"ArrowHead"
"Moments 1,2",2,0.331428571428571,4,"ArrowHead"
"Moments 1,2,3",3,0.44,4,"ArrowHead"
"Moments 1,2,3,4",4,0.56,4,"ArrowHead"
"catch22",24,0.702857142857143,4,"ArrowHead"
"Moment 1",1,0.28,5,"ArrowHead"
"Moments 1,2",2,0.268571428571429,5,"ArrowHead"
"Moments 1,2,3",3,0.325714285714286,5,"ArrowHead"
"Moments 1,2,3,4",4,0.594285714285714,5,"ArrowHead"
"catch22",24,0.691428571428571,5,"ArrowHead"
"Moment 1",1,0.365714285714286,6,"ArrowHead"
"Moments 1,2",2,0.325714285714286,6,"ArrowHead"
"Moments 1,2,3",3,0.457142857142857,6,"ArrowHead"
"Moments 1,2,3,4",4,0.542857142857143,6,"ArrowHead"
"catch22",24,0.622857142857143,6,"ArrowHead"
"Moment 1",1,0.325714285714286,7,"ArrowHead"
"Moments 1,2",2,0.325714285714286,7,"ArrowHead"
"Moments 1,2,3",3,0.342857142857143,7,"ArrowHead"
"Moments 1,2,3,4",4,0.377142857142857,7,"ArrowHead"
"catch22",24,0.588571428571429,7,"ArrowHead"
"Moment 1",1,0.32,8,"ArrowHead"
"Moments 1,2",2,0.308571428571429,8,"ArrowHead"
