"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.219435736677116,1,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,1,"WordSynonyms"
"Moments 1,2,3",3,0.247648902821317,1,"WordSynonyms"
"Moments 1,2,3,4",4,0.274294670846395,1,"WordSynonyms"
"catch22",24,0.432601880877743,1,"WordSynonyms"
"Moment 1",1,0.219435736677116,2,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,2,"WordSynonyms"
"Moments 1,2,3",3,0.25705329153605,2,"WordSynonyms"
"Moments 1,2,3,4",4,0.272727272727273,2,"WordSynonyms"
"catch22",24,0.387147335423198,2,"WordSynonyms"
"Moment 1",1,0.219435736677116,3,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,3,"WordSynonyms"
"Moments 1,2,3",3,0.255485893416928,3,"WordSynonyms"
"Moments 1,2,3,4",4,0.269592476489028,3,"WordSynonyms"
"catch22",24,0.426332288401254,3,"WordSynonyms"
"Moment 1",1,0.219435736677116,4,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,4,"WordSynonyms"
"Moments 1,2,3",3,0.268025078369906,4,"WordSynonyms"
"Moments 1,2,3,4",4,0.275862068965517,4,"WordSynonyms"
"catch22",24,0.448275862068966,4,"WordSynonyms"
"Moment 1",1,0.219435736677116,5,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,5,"WordSynonyms"
"Moments 1,2,3",3,0.252351097178683,5,"WordSynonyms"
"Moments 1,2,3,4",4,0.266457680250784,5,"WordSynonyms"
"catch22",24,0.460815047021944,5,"WordSynonyms"
"Moment 1",1,0.219435736677116,6,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,6,"WordSynonyms"
"Moments 1,2,3",3,0.250783699059561,6,"WordSynonyms"
"Moments 1,2,3,4",4,0.27115987460815,6,"WordSynonyms"
"catch22",24,0.440438871473354,6,"WordSynonyms"
"Moment 1",1,0.219435736677116,7,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,7,"WordSynonyms"
"Moments 1,2,3",3,0.252351097178683,7,"WordSynonyms"
"Moments 1,2,3,4",4,0.266457680250784,7,"WordSynonyms"
"catch22",24,0.435736677115987,7,"WordSynonyms"
"Moment 1",1,0.219435736677116,8,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,8,"WordSynonyms"
"Moments 1,2,3",3,0.274294670846395,8,"WordSynonyms"
"Moments 1,2,3,4",4,0.274294670846395,8,"WordSynonyms"
"catch22",24,0.452978056426332,8,"WordSynonyms"
"Moment 1",1,0.219435736677116,9,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,9,"WordSynonyms"
"Moments 1,2,3",3,0.250783699059561,9,"WordSynonyms"
"Moments 1,2,3,4",4,0.272727272727273,9,"WordSynonyms"
"catch22",24,0.438871473354232,9,"WordSynonyms"
"Moment 1",1,0.219435736677116,10,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,10,"WordSynonyms"
"Moments 1,2,3",3,0.263322884012539,10,"WordSynonyms"
"Moments 1,2,3,4",4,0.269592476489028,10,"WordSynonyms"
"catch22",24,0.434169278996865,10,"WordSynonyms"
"Moment 1",1,0.219435736677116,11,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,11,"WordSynonyms"
"Moments 1,2,3",3,0.268025078369906,11,"WordSynonyms"
"Moments 1,2,3,4",4,0.288401253918495,11,"WordSynonyms"
"catch22",24,0.423197492163009,11,"WordSynonyms"
"Moment 1",1,0.219435736677116,12,"WordSynonyms"
"Moments 1,2",2,0.205329153605016,12,"WordSynonyms"
"Moments 1,2,3",3,0.264890282131661,12,"WordSynonyms"
"Moments 1,2,3,4",4,0.269592476489028,12,"WordSynonyms"
"catch22",24,0.41692789968652,12,"WordSynonyms"
"Moment 1",1,0.219435736677116,13,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,13,"WordSynonyms"
"Moments 1,2,3",3,0.255485893416928,13,"WordSynonyms"
"Moments 1,2,3,4",4,0.272727272727273,13,"WordSynonyms"
"catch22",24,0.424764890282132,13,"WordSynonyms"
"Moment 1",1,0.219435736677116,14,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,14,"WordSynonyms"
"Moments 1,2,3",3,0.260188087774295,14,"WordSynonyms"
"Moments 1,2,3,4",4,0.275862068965517,14,"WordSynonyms"
"catch22",24,0.424764890282132,14,"WordSynonyms"
"Moment 1",1,0.219435736677116,15,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,15,"WordSynonyms"
"Moments 1,2,3",3,0.249216300940439,15,"WordSynonyms"
"Moments 1,2,3,4",4,0.258620689655172,15,"WordSynonyms"
"catch22",24,0.43730407523511,15,"WordSynonyms"
"Moment 1",1,0.219435736677116,16,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,16,"WordSynonyms"
"Moments 1,2,3",3,0.266457680250784,16,"WordSynonyms"
"Moments 1,2,3,4",4,0.27115987460815,16,"WordSynonyms"
"catch22",24,0.435736677115987,16,"WordSynonyms"
"Moment 1",1,0.219435736677116,17,"WordSynonyms"
"Moments 1,2",2,0.217868338557994,17,"WordSynonyms"
"Moments 1,2,3",3,0.247648902821317,17,"WordSynonyms"
"Moments 1,2,3,4",4,0.261755485893417,17,"WordSynonyms"
"catch22",24,0.442006269592476,17,"WordSynonyms"
"Moment 1",1,0.219435736677116,18,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,18,"WordSynonyms"
"Moments 1,2,3",3,0.252351097178683,18,"WordSynonyms"
"Moments 1,2,3,4",4,0.261755485893417,18,"WordSynonyms"
"catch22",24,0.415360501567398,18,"WordSynonyms"
"Moment 1",1,0.219435736677116,19,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,19,"WordSynonyms"
"Moments 1,2,3",3,0.252351097178683,19,"WordSynonyms"
"Moments 1,2,3,4",4,0.263322884012539,19,"WordSynonyms"
"catch22",24,0.463949843260188,19,"WordSynonyms"
"Moment 1",1,0.219435736677116,20,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,20,"WordSynonyms"
"Moments 1,2,3",3,0.258620689655172,20,"WordSynonyms"
"Moments 1,2,3,4",4,0.269592476489028,20,"WordSynonyms"
"catch22",24,0.484326018808777,20,"WordSynonyms"
"Moment 1",1,0.219435736677116,21,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,21,"WordSynonyms"
"Moments 1,2,3",3,0.252351097178683,21,"WordSynonyms"
"Moments 1,2,3,4",4,0.25705329153605,21,"WordSynonyms"
"catch22",24,0.435736677115987,21,"WordSynonyms"
"Moment 1",1,0.219435736677116,22,"WordSynonyms"
"Moments 1,2",2,0.219435736677116,22,"WordSynonyms"
"Moments 1,2,3",3,0.261755485893417,22,"WordSynonyms"
