"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.59375,1,"Herring"
"Moments 1,2",2,0.59375,1,"Herring"
"Moments 1,2,3",3,0.59375,1,"Herring"
"Moments 1,2,3,4",4,0.546875,1,"Herring"
"catch22",22,0.546875,1,"Herring"
"Moment 1",1,0.59375,2,"Herring"
"Moments 1,2",2,0.59375,2,"Herring"
"Moments 1,2,3",3,0.59375,2,"Herring"
"Moments 1,2,3,4",4,0.53125,2,"Herring"
"catch22",22,0.578125,2,"Herring"
"Moment 1",1,0.59375,3,"Herring"
"Moments 1,2",2,0.5625,3,"Herring"
"Moments 1,2,3",3,0.5625,3,"Herring"
"Moments 1,2,3,4",4,0.59375,3,"Herring"
"catch22",22,0.546875,3,"Herring"
"Moment 1",1,0.59375,4,"Herring"
"Moments 1,2",2,0.59375,4,"Herring"
"Moments 1,2,3",3,0.59375,4,"Herring"
"Moments 1,2,3,4",4,0.59375,4,"Herring"
"catch22",22,0.390625,4,"Herring"
"Moment 1",1,0.59375,5,"Herring"
"Moments 1,2",2,0.59375,5,"Herring"
"Moments 1,2,3",3,0.59375,5,"Herring"
"Moments 1,2,3,4",4,0.59375,5,"Herring"
"catch22",22,0.546875,5,"Herring"
"Moment 1",1,0.59375,6,"Herring"
"Moments 1,2",2,0.59375,6,"Herring"
"Moments 1,2,3",3,0.59375,6,"Herring"
"Moments 1,2,3,4",4,0.578125,6,"Herring"
"catch22",22,0.59375,6,"Herring"
"Moment 1",1,0.59375,7,"Herring"
"Moments 1,2",2,0.59375,7,"Herring"
"Moments 1,2,3",3,0.53125,7,"Herring"
"Moments 1,2,3,4",4,0.53125,7,"Herring"
"catch22",22,0.484375,7,"Herring"
"Moment 1",1,0.59375,8,"Herring"
"Moments 1,2",2,0.59375,8,"Herring"
"Moments 1,2,3",3,0.59375,8,"Herring"
"Moments 1,2,3,4",4,0.640625,8,"Herring"
"catch22",22,0.46875,8,"Herring"
"Moment 1",1,0.59375,9,"Herring"
"Moments 1,2",2,0.59375,9,"Herring"
"Moments 1,2,3",3,0.59375,9,"Herring"
"Moments 1,2,3,4",4,0.59375,9,"Herring"
"catch22",22,0.640625,9,"Herring"
"Moment 1",1,0.59375,10,"Herring"
"Moments 1,2",2,0.59375,10,"Herring"
"Moments 1,2,3",3,0.59375,10,"Herring"
"Moments 1,2,3,4",4,0.59375,10,"Herring"
"catch22",22,0.515625,10,"Herring"
"Moment 1",1,0.59375,11,"Herring"
"Moments 1,2",2,0.453125,11,"Herring"
"Moments 1,2,3",3,0.53125,11,"Herring"
"Moments 1,2,3,4",4,0.5625,11,"Herring"
"catch22",22,0.578125,11,"Herring"
"Moment 1",1,0.59375,12,"Herring"
"Moments 1,2",2,0.59375,12,"Herring"
"Moments 1,2,3",3,0.546875,12,"Herring"
"Moments 1,2,3,4",4,0.59375,12,"Herring"
"catch22",22,0.59375,12,"Herring"
"Moment 1",1,0.59375,13,"Herring"
"Moments 1,2",2,0.59375,13,"Herring"
"Moments 1,2,3",3,0.59375,13,"Herring"
"Moments 1,2,3,4",4,0.546875,13,"Herring"
"catch22",22,0.53125,13,"Herring"
"Moment 1",1,0.59375,14,"Herring"
"Moments 1,2",2,0.59375,14,"Herring"
"Moments 1,2,3",3,0.59375,14,"Herring"
"Moments 1,2,3,4",4,0.59375,14,"Herring"
"catch22",22,0.53125,14,"Herring"
"Moment 1",1,0.59375,15,"Herring"
"Moments 1,2",2,0.59375,15,"Herring"
"Moments 1,2,3",3,0.59375,15,"Herring"
"Moments 1,2,3,4",4,0.4375,15,"Herring"
"catch22",22,0.625,15,"Herring"
"Moment 1",1,0.59375,16,"Herring"
"Moments 1,2",2,0.59375,16,"Herring"
"Moments 1,2,3",3,0.59375,16,"Herring"
"Moments 1,2,3,4",4,0.59375,16,"Herring"
"catch22",22,0.484375,16,"Herring"
"Moment 1",1,0.59375,17,"Herring"
"Moments 1,2",2,0.53125,17,"Herring"
"Moments 1,2,3",3,0.484375,17,"Herring"
"Moments 1,2,3,4",4,0.53125,17,"Herring"
"catch22",22,0.609375,17,"Herring"
"Moment 1",1,0.59375,18,"Herring"
"Moments 1,2",2,0.59375,18,"Herring"
"Moments 1,2,3",3,0.59375,18,"Herring"
"Moments 1,2,3,4",4,0.59375,18,"Herring"
"catch22",22,0.546875,18,"Herring"
"Moment 1",1,0.59375,19,"Herring"
"Moments 1,2",2,0.59375,19,"Herring"
"Moments 1,2,3",3,0.5625,19,"Herring"
"Moments 1,2,3,4",4,0.578125,19,"Herring"
"catch22",22,0.46875,19,"Herring"
"Moment 1",1,0.59375,20,"Herring"
"Moments 1,2",2,0.59375,20,"Herring"
"Moments 1,2,3",3,0.59375,20,"Herring"
"Moments 1,2,3,4",4,0.59375,20,"Herring"
"catch22",22,0.5625,20,"Herring"
"Moment 1",1,0.59375,21,"Herring"
"Moments 1,2",2,0.59375,21,"Herring"
"Moments 1,2,3",3,0.59375,21,"Herring"
"Moments 1,2,3,4",4,0.59375,21,"Herring"
"catch22",22,0.546875,21,"Herring"
"Moment 1",1,0.59375,22,"Herring"
"Moments 1,2",2,0.59375,22,"Herring"
"Moments 1,2,3",3,0.59375,22,"Herring"
"Moments 1,2,3,4",4,0.546875,22,"Herring"
"catch22",22,0.515625,22,"Herring"
"Moment 1",1,0.59375,23,"Herring"
"Moments 1,2",2,0.5,23,"Herring"
"Moments 1,2,3",3,0.46875,23,"Herring"
"Moments 1,2,3,4",4,0.46875,23,"Herring"
"catch22",22,0.578125,23,"Herring"
"Moment 1",1,0.59375,24,"Herring"
"Moments 1,2",2,0.4375,24,"Herring"
"Moments 1,2,3",3,0.421875,24,"Herring"
"Moments 1,2,3,4",4,0.4375,24,"Herring"
"catch22",22,0.53125,24,"Herring"
"Moment 1",1,0.59375,25,"Herring"
"Moments 1,2",2,0.59375,25,"Herring"
"Moments 1,2,3",3,0.59375,25,"Herring"
"Moments 1,2,3,4",4,0.59375,25,"Herring"
"catch22",22,0.59375,25,"Herring"
"Moment 1",1,0.59375,26,"Herring"
"Moments 1,2",2,0.59375,26,"Herring"
"Moments 1,2,3",3,0.59375,26,"Herring"
"Moments 1,2,3,4",4,0.53125,26,"Herring"
"catch22",22,0.484375,26,"Herring"
"Moment 1",1,0.59375,27,"Herring"
"Moments 1,2",2,0.515625,27,"Herring"
"Moments 1,2,3",3,0.5,27,"Herring"
"Moments 1,2,3,4",4,0.515625,27,"Herring"
"catch22",22,0.5625,27,"Herring"
"Moment 1",1,0.59375,28,"Herring"
"Moments 1,2",2,0.59375,28,"Herring"
"Moments 1,2,3",3,0.59375,28,"Herring"
"Moments 1,2,3,4",4,0.59375,28,"Herring"
"catch22",22,0.5625,28,"Herring"
"Moment 1",1,0.59375,29,"Herring"
"Moments 1,2",2,0.59375,29,"Herring"
"Moments 1,2,3",3,0.59375,29,"Herring"
"Moments 1,2,3,4",4,0.546875,29,"Herring"
"catch22",22,0.515625,29,"Herring"
"Moment 1",1,0.59375,30,"Herring"
"Moments 1,2",2,0.59375,30,"Herring"
"Moments 1,2,3",3,0.59375,30,"Herring"
"Moments 1,2,3,4",4,0.59375,30,"Herring"
"catch22",22,0.484375,30,"Herring"
"Moment 1",1,0.59375,31,"Herring"
"Moments 1,2",2,0.59375,31,"Herring"
"Moments 1,2,3",3,0.578125,31,"Herring"
"Moments 1,2,3,4",4,0.625,31,"Herring"
"catch22",22,0.609375,31,"Herring"
"Moment 1",1,0.59375,32,"Herring"
"Moments 1,2",2,0.59375,32,"Herring"
"Moments 1,2,3",3,0.59375,32,"Herring"
"Moments 1,2,3,4",4,0.59375,32,"Herring"
"catch22",22,0.484375,32,"Herring"
"Moment 1",1,0.59375,33,"Herring"
"Moments 1,2",2,0.515625,33,"Herring"
"Moments 1,2,3",3,0.53125,33,"Herring"
"Moments 1,2,3,4",4,0.515625,33,"Herring"
"catch22",22,0.546875,33,"Herring"
"Moment 1",1,0.59375,34,"Herring"
"Moments 1,2",2,0.59375,34,"Herring"
"Moments 1,2,3",3,0.59375,34,"Herring"
