"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.54945054945055,1,"PhoneHeartbeatSound"
"Moments 1,2",2,0.56043956043956,1,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.56043956043956,1,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.56043956043956,1,"PhoneHeartbeatSound"
"catch22",24,0.620879120879121,1,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,2,"PhoneHeartbeatSound"
"Moments 1,2",2,0.554945054945055,2,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.554945054945055,2,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.565934065934066,2,"PhoneHeartbeatSound"
"catch22",24,0.626373626373626,2,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,3,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,3,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,3,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,3,"PhoneHeartbeatSound"
"catch22",24,0.576923076923077,3,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,4,"PhoneHeartbeatSound"
"Moments 1,2",2,0.56043956043956,4,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.56043956043956,4,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.565934065934066,4,"PhoneHeartbeatSound"
"catch22",24,0.587912087912088,4,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,5,"PhoneHeartbeatSound"
"Moments 1,2",2,0.56043956043956,5,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.56043956043956,5,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.571428571428571,5,"PhoneHeartbeatSound"
"catch22",24,0.56043956043956,5,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,6,"PhoneHeartbeatSound"
"Moments 1,2",2,0.554945054945055,6,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.554945054945055,6,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.576923076923077,6,"PhoneHeartbeatSound"
"catch22",24,0.571428571428571,6,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,7,"PhoneHeartbeatSound"
"Moments 1,2",2,0.56043956043956,7,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.56043956043956,7,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.56043956043956,7,"PhoneHeartbeatSound"
"catch22",24,0.642857142857143,7,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,8,"PhoneHeartbeatSound"
