"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.430357912893489,1,"MelbournePedestrian"
"Moments 1,2",2,0.539025442000862,1,"MelbournePedestrian"
"Moments 1,2,3",3,0.726606295817163,1,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.767572229409228,1,"MelbournePedestrian"
"catch22",22,0.845191893057352,1,"MelbournePedestrian"
"Moment 1",1,0.448469167744718,2,"MelbournePedestrian"
"Moments 1,2",2,0.519189305735231,2,"MelbournePedestrian"
"Moments 1,2,3",3,0.72488141440276,2,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.777921517895645,2,"MelbournePedestrian"
"catch22",22,0.842604570935748,2,"MelbournePedestrian"
"Moment 1",1,0.409659335920655,3,"MelbournePedestrian"
"Moments 1,2",2,0.528676153514446,3,"MelbournePedestrian"
"Moments 1,2,3",3,0.720569210866753,3,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.788270806382061,3,"MelbournePedestrian"
"catch22",22,0.835273824924536,3,"MelbournePedestrian"
"Moment 1",1,0.460543337645537,4,"MelbournePedestrian"
"Moments 1,2",2,0.536438119879258,4,"MelbournePedestrian"
"Moments 1,2,3",3,0.72531263475636,4,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.778352738249245,4,"MelbournePedestrian"
"catch22",22,0.831824062095731,4,"MelbournePedestrian"
"Moment 1",1,0.460543337645537,5,"MelbournePedestrian"
"Moments 1,2",2,0.551099611901682,5,"MelbournePedestrian"
"Moments 1,2,3",3,0.735661923242777,5,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.775765416127641,5,"MelbournePedestrian"
"catch22",22,0.842173350582147,5,"MelbournePedestrian"
"Moment 1",1,0.460974557999138,6,"MelbournePedestrian"
"Moments 1,2",2,0.526951272100043,6,"MelbournePedestrian"
"Moments 1,2,3",3,0.723156532988357,6,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.789564467442863,6,"MelbournePedestrian"
"catch22",22,0.838723587753342,6,"MelbournePedestrian"
"Moment 1",1,0.466149202242346,7,"MelbournePedestrian"
"Moments 1,2",2,0.539887882708064,7,"MelbournePedestrian"
"Moments 1,2,3",3,0.723587753341958,7,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.78137128072445,7,"MelbournePedestrian"
"catch22",22,0.841742130228547,7,"MelbournePedestrian"
"Moment 1",1,0.459680896938335,8,"MelbournePedestrian"
"Moments 1,2",2,0.530401034928849,8,"MelbournePedestrian"
"Moments 1,2,3",3,0.717981888745149,8,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.779215178956447,8,"MelbournePedestrian"
"catch22",22,0.846916774471755,8,"MelbournePedestrian"
"Moment 1",1,0.466580422595947,9,"MelbournePedestrian"
"Moments 1,2",2,0.533850797757654,9,"MelbournePedestrian"
"Moments 1,2,3",3,0.724018973695558,9,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.779215178956447,9,"MelbournePedestrian"
"catch22",22,0.833117723156533,9,"MelbournePedestrian"
"Moment 1",1,0.466149202242346,10,"MelbournePedestrian"
"Moments 1,2",2,0.546787408365675,10,"MelbournePedestrian"
"Moments 1,2,3",3,0.73134971970677,10,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.783958602846054,10,"MelbournePedestrian"
"catch22",22,0.842604570935748,10,"MelbournePedestrian"
"Moment 1",1,0.471755066839155,11,"MelbournePedestrian"
"Moments 1,2",2,0.535144458818456,11,"MelbournePedestrian"
"Moments 1,2,3",3,0.723156532988357,11,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.774471755066839,11,"MelbournePedestrian"
"catch22",22,0.857697283311772,11,"MelbournePedestrian"
"Moment 1",1,0.463130659767141,12,"MelbournePedestrian"
"Moments 1,2",2,0.532557136696852,12,"MelbournePedestrian"
"Moments 1,2,3",3,0.727037516170763,12,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.788270806382061,12,"MelbournePedestrian"
"catch22",22,0.840017248814144,12,"MelbournePedestrian"
"Moment 1",1,0.460543337645537,13,"MelbournePedestrian"
"Moments 1,2",2,0.533419577404053,13,"MelbournePedestrian"
"Moments 1,2,3",3,0.736524363949978,13,"MelbournePedestrian"
"Moments 1,2,3,4",4,0.784389823199655,13,"MelbournePedestrian"
"catch22",22,0.846916774471755,13,"MelbournePedestrian"
