"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.0898989898989899,1,"InsectWingbeatSound"
"Moments 1,2",2,0.095959595959596,1,"InsectWingbeatSound"
"Moments 1,2,3",3,0.133838383838384,1,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.146969696969697,1,"InsectWingbeatSound"
"catch22",24,0.451515151515152,1,"InsectWingbeatSound"
"Moment 1",1,0.10050505050505,2,"InsectWingbeatSound"
"Moments 1,2",2,0.106565656565657,2,"InsectWingbeatSound"
"Moments 1,2,3",3,0.136868686868687,2,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.143434343434343,2,"InsectWingbeatSound"
"catch22",24,0.437878787878788,2,"InsectWingbeatSound"
"Moment 1",1,0.0873737373737374,3,"InsectWingbeatSound"
"Moments 1,2",2,0.0984848484848485,3,"InsectWingbeatSound"
"Moments 1,2,3",3,0.12979797979798,3,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.12979797979798,3,"InsectWingbeatSound"
"catch22",24,0.451010101010101,3,"InsectWingbeatSound"
"Moment 1",1,0.0929292929292929,4,"InsectWingbeatSound"
"Moments 1,2",2,0.0893939393939394,4,"InsectWingbeatSound"
"Moments 1,2,3",3,0.132828282828283,4,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.136868686868687,4,"InsectWingbeatSound"
"catch22",24,0.423737373737374,4,"InsectWingbeatSound"
"Moment 1",1,0.096969696969697,5,"InsectWingbeatSound"
"Moments 1,2",2,0.0954545454545455,5,"InsectWingbeatSound"
"Moments 1,2,3",3,0.131818181818182,5,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.135858585858586,5,"InsectWingbeatSound"
"catch22",24,0.442424242424242,5,"InsectWingbeatSound"
"Moment 1",1,0.10050505050505,6,"InsectWingbeatSound"
"Moments 1,2",2,0.0939393939393939,6,"InsectWingbeatSound"
"Moments 1,2,3",3,0.132828282828283,6,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.143939393939394,6,"InsectWingbeatSound"
"catch22",24,0.446969696969697,6,"InsectWingbeatSound"
"Moment 1",1,0.0914141414141414,7,"InsectWingbeatSound"
"Moments 1,2",2,0.0792929292929293,7,"InsectWingbeatSound"
"Moments 1,2,3",3,0.126262626262626,7,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.135858585858586,7,"InsectWingbeatSound"
"catch22",24,0.469191919191919,7,"InsectWingbeatSound"
"Moment 1",1,0.0873737373737374,8,"InsectWingbeatSound"
"Moments 1,2",2,0.0813131313131313,8,"InsectWingbeatSound"
"Moments 1,2,3",3,0.125252525252525,8,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.127777777777778,8,"InsectWingbeatSound"
"catch22",24,0.425252525252525,8,"InsectWingbeatSound"
"Moment 1",1,0.0954545454545455,9,"InsectWingbeatSound"
"Moments 1,2",2,0.0843434343434343,9,"InsectWingbeatSound"
"Moments 1,2,3",3,0.11010101010101,9,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.12020202020202,9,"InsectWingbeatSound"
"catch22",24,0.467676767676768,9,"InsectWingbeatSound"
"Moment 1",1,0.0813131313131313,10,"InsectWingbeatSound"
"Moments 1,2",2,0.0843434343434343,10,"InsectWingbeatSound"
"Moments 1,2,3",3,0.114646464646465,10,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.119191919191919,10,"InsectWingbeatSound"
"catch22",24,0.429292929292929,10,"InsectWingbeatSound"
"Moment 1",1,0.094949494949495,11,"InsectWingbeatSound"
"Moments 1,2",2,0.0914141414141414,11,"InsectWingbeatSound"
"Moments 1,2,3",3,0.136868686868687,11,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.142929292929293,11,"InsectWingbeatSound"
"catch22",24,0.471212121212121,11,"InsectWingbeatSound"
