"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.120882188721385,1,"UWaveGestureLibraryX"
"Moments 1,2",2,0.120882188721385,1,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.155778894472362,1,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.26465661641541,1,"UWaveGestureLibraryX"
"catch22",24,0.701842546063652,1,"UWaveGestureLibraryX"
"Moment 1",1,0.128699050809604,2,"UWaveGestureLibraryX"
"Moments 1,2",2,0.128978224455611,2,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.182021217197097,2,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.253768844221106,2,"UWaveGestureLibraryX"
"catch22",24,0.705750977107761,2,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,3,"UWaveGestureLibraryX"
"Moments 1,2",2,0.120882188721385,3,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.179508654383026,3,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.265494137353434,3,"UWaveGestureLibraryX"
"catch22",24,0.7071468453378,3,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,4,"UWaveGestureLibraryX"
"Moments 1,2",2,0.120882188721385,4,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.194863204913456,4,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.252093802345059,4,"UWaveGestureLibraryX"
"catch22",24,0.71356783919598,4,"UWaveGestureLibraryX"
"Moment 1",1,0.13176996091569,5,"UWaveGestureLibraryX"
"Moments 1,2",2,0.146007816862088,5,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.183417085427136,5,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.243718592964824,5,"UWaveGestureLibraryX"
"catch22",24,0.708263539921831,5,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,6,"UWaveGestureLibraryX"
"Moments 1,2",2,0.112786152987158,6,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.139307649357901,6,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.239810161920715,6,"UWaveGestureLibraryX"
"catch22",24,0.69821328866555,6,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,7,"UWaveGestureLibraryX"
"Moments 1,2",2,0.120882188721385,7,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.192071468453378,7,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.262981574539363,7,"UWaveGestureLibraryX"
"catch22",24,0.719151312116136,7,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,8,"UWaveGestureLibraryX"
"Moments 1,2",2,0.132049134561697,8,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.180067001675042,8,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.245114461194863,8,"UWaveGestureLibraryX"
"catch22",24,0.709938581797878,8,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,9,"UWaveGestureLibraryX"
"Moments 1,2",2,0.120882188721385,9,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.182300390843104,9,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.245951982132887,9,"UWaveGestureLibraryX"
"catch22",24,0.703517587939699,9,"UWaveGestureLibraryX"
"Moment 1",1,0.128699050809604,10,"UWaveGestureLibraryX"
"Moments 1,2",2,0.12534896705751,10,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.19179229480737,10,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.264098269123395,10,"UWaveGestureLibraryX"
"catch22",24,0.7071468453378,10,"UWaveGestureLibraryX"
"Moment 1",1,0.132607481853713,11,"UWaveGestureLibraryX"
"Moments 1,2",2,0.135678391959799,11,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.179787828029034,11,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.256281407035176,11,"UWaveGestureLibraryX"
"catch22",24,0.714963707426019,11,"UWaveGestureLibraryX"
"Moment 1",1,0.133165829145729,12,"UWaveGestureLibraryX"
"Moments 1,2",2,0.135957565605807,12,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.185929648241206,12,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.254327191513121,12,"UWaveGestureLibraryX"
"catch22",24,0.699609156895589,12,"UWaveGestureLibraryX"
"Moment 1",1,0.12534896705751,13,"UWaveGestureLibraryX"
"Moments 1,2",2,0.131211613623674,13,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.168620882188721,13,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.247068676716918,13,"UWaveGestureLibraryX"
"catch22",24,0.703238414293691,13,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,14,"UWaveGestureLibraryX"
"Moments 1,2",2,0.130094919039643,14,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.174204355108878,14,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.243439419318816,14,"UWaveGestureLibraryX"
"catch22",24,0.713009491903964,14,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,15,"UWaveGestureLibraryX"
"Moments 1,2",2,0.124232272473478,15,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.183417085427136,15,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.257677275265215,15,"UWaveGestureLibraryX"
"catch22",24,0.718313791178113,15,"UWaveGestureLibraryX"
"Moment 1",1,0.127024008933557,16,"UWaveGestureLibraryX"
"Moments 1,2",2,0.129257398101619,16,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.176996091568956,16,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.23785594639866,16,"UWaveGestureLibraryX"
"catch22",24,0.701284198771636,16,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,17,"UWaveGestureLibraryX"
"Moments 1,2",2,0.138190954773869,17,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.189838079285315,17,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.272473478503629,17,"UWaveGestureLibraryX"
"catch22",24,0.707984366275824,17,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,18,"UWaveGestureLibraryX"
"Moments 1,2",2,0.120882188721385,18,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.149916247906198,18,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.245393634840871,18,"UWaveGestureLibraryX"
"catch22",24,0.715801228364042,18,"UWaveGestureLibraryX"
"Moment 1",1,0.100502512562814,19,"UWaveGestureLibraryX"
"Moments 1,2",2,0.10608598548297,19,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.185650474595198,19,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.247347850362926,19,"UWaveGestureLibraryX"
"catch22",24,0.703796761585706,19,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,20,"UWaveGestureLibraryX"
"Moments 1,2",2,0.120882188721385,20,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.144332774986041,20,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.251535455053043,20,"UWaveGestureLibraryX"
