"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.09,1,"ACSF1"
"Moments 1,2",2,0.08,1,"ACSF1"
"Moments 1,2,3",3,0.29,1,"ACSF1"
"Moments 1,2,3,4",4,0.3,1,"ACSF1"
"catch22",23,0.67,1,"ACSF1"
"Moment 1",1,0.1,2,"ACSF1"
"Moments 1,2",2,0.08,2,"ACSF1"
"Moments 1,2,3",3,0.31,2,"ACSF1"
"Moments 1,2,3,4",4,0.3,2,"ACSF1"
"catch22",23,0.65,2,"ACSF1"
"Moment 1",1,0.08,3,"ACSF1"
"Moments 1,2",2,0.05,3,"ACSF1"
"Moments 1,2,3",3,0.29,3,"ACSF1"
"Moments 1,2,3,4",4,0.31,3,"ACSF1"
"catch22",23,0.66,3,"ACSF1"
"Moment 1",1,0.09,4,"ACSF1"
"Moments 1,2",2,0.09,4,"ACSF1"
"Moments 1,2,3",3,0.26,4,"ACSF1"
"Moments 1,2,3,4",4,0.28,4,"ACSF1"
"catch22",23,0.63,4,"ACSF1"
"Moment 1",1,0.13,5,"ACSF1"
"Moments 1,2",2,0.1,5,"ACSF1"
"Moments 1,2,3",3,0.33,5,"ACSF1"
"Moments 1,2,3,4",4,0.32,5,"ACSF1"
"catch22",23,0.66,5,"ACSF1"
"Moment 1",1,0.14,6,"ACSF1"
"Moments 1,2",2,0.07,6,"ACSF1"
"Moments 1,2,3",3,0.29,6,"ACSF1"
"Moments 1,2,3,4",4,0.29,6,"ACSF1"
"catch22",23,0.75,6,"ACSF1"
"Moment 1",1,0.13,7,"ACSF1"
"Moments 1,2",2,0.13,7,"ACSF1"
"Moments 1,2,3",3,0.3,7,"ACSF1"
"Moments 1,2,3,4",4,0.33,7,"ACSF1"
"catch22",23,0.66,7,"ACSF1"
"Moment 1",1,0.12,8,"ACSF1"
"Moments 1,2",2,0.08,8,"ACSF1"
"Moments 1,2,3",3,0.31,8,"ACSF1"
"Moments 1,2,3,4",4,0.31,8,"ACSF1"
"catch22",23,0.65,8,"ACSF1"
"Moment 1",1,0.15,9,"ACSF1"
"Moments 1,2",2,0.1,9,"ACSF1"
"Moments 1,2,3",3,0.3,9,"ACSF1"
