"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.737341772151899,1,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.772151898734177,1,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,1,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,1,"GunPointMaleVersusFemale"
"catch22",24,0.996835443037975,1,"GunPointMaleVersusFemale"
"Moment 1",1,0.756329113924051,2,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.781645569620253,2,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,2,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,2,"GunPointMaleVersusFemale"
"catch22",24,0.993670886075949,2,"GunPointMaleVersusFemale"
"Moment 1",1,0.718354430379747,3,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.693037974683544,3,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,3,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,3,"GunPointMaleVersusFemale"
"catch22",24,0.993670886075949,3,"GunPointMaleVersusFemale"
"Moment 1",1,0.734177215189873,4,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.737341772151899,4,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,4,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,4,"GunPointMaleVersusFemale"
"catch22",24,0.993670886075949,4,"GunPointMaleVersusFemale"
"Moment 1",1,0.737341772151899,5,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.787974683544304,5,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,5,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,5,"GunPointMaleVersusFemale"
"catch22",24,0.984177215189873,5,"GunPointMaleVersusFemale"
"Moment 1",1,0.746835443037975,6,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.759493670886076,6,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,6,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,6,"GunPointMaleVersusFemale"
"catch22",24,0.996835443037975,6,"GunPointMaleVersusFemale"
"Moment 1",1,0.75,7,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.787974683544304,7,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,7,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,7,"GunPointMaleVersusFemale"
"catch22",24,0.996835443037975,7,"GunPointMaleVersusFemale"
"Moment 1",1,0.740506329113924,8,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.778481012658228,8,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,8,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,8,"GunPointMaleVersusFemale"
"catch22",24,0.990506329113924,8,"GunPointMaleVersusFemale"
"Moment 1",1,0.75,9,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.772151898734177,9,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,1,9,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,9,"GunPointMaleVersusFemale"
"catch22",24,0.993670886075949,9,"GunPointMaleVersusFemale"
"Moment 1",1,0.746835443037975,10,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.762658227848101,10,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,10,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,10,"GunPointMaleVersusFemale"
"catch22",24,0.984177215189873,10,"GunPointMaleVersusFemale"
"Moment 1",1,0.731012658227848,11,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.781645569620253,11,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,11,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,11,"GunPointMaleVersusFemale"
"catch22",24,0.996835443037975,11,"GunPointMaleVersusFemale"
"Moment 1",1,0.743670886075949,12,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.781645569620253,12,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,1,12,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,12,"GunPointMaleVersusFemale"
"catch22",24,0.987341772151899,12,"GunPointMaleVersusFemale"
"Moment 1",1,0.731012658227848,13,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.781645569620253,13,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,13,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,13,"GunPointMaleVersusFemale"
"catch22",24,0.993670886075949,13,"GunPointMaleVersusFemale"
"Moment 1",1,0.721518987341772,14,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.721518987341772,14,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,1,14,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,14,"GunPointMaleVersusFemale"
"catch22",24,0.987341772151899,14,"GunPointMaleVersusFemale"
"Moment 1",1,0.772151898734177,15,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.787974683544304,15,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,15,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,15,"GunPointMaleVersusFemale"
"catch22",24,0.993670886075949,15,"GunPointMaleVersusFemale"
"Moment 1",1,0.731012658227848,16,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.731012658227848,16,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,16,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,16,"GunPointMaleVersusFemale"
"catch22",24,0.984177215189873,16,"GunPointMaleVersusFemale"
"Moment 1",1,0.753164556962025,17,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.794303797468354,17,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,17,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,17,"GunPointMaleVersusFemale"
"catch22",24,0.974683544303797,17,"GunPointMaleVersusFemale"
"Moment 1",1,0.740506329113924,18,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.79746835443038,18,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,18,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,18,"GunPointMaleVersusFemale"
"catch22",24,0.996835443037975,18,"GunPointMaleVersusFemale"
"Moment 1",1,0.731012658227848,19,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.731012658227848,19,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,19,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,19,"GunPointMaleVersusFemale"
"catch22",24,0.990506329113924,19,"GunPointMaleVersusFemale"
"Moment 1",1,0.746835443037975,20,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.800632911392405,20,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,20,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,20,"GunPointMaleVersusFemale"
"catch22",24,0.996835443037975,20,"GunPointMaleVersusFemale"
"Moment 1",1,0.746835443037975,21,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.775316455696203,21,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,1,21,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,21,"GunPointMaleVersusFemale"
"catch22",24,1,21,"GunPointMaleVersusFemale"
"Moment 1",1,0.743670886075949,22,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.775316455696203,22,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,22,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.993670886075949,22,"GunPointMaleVersusFemale"
"catch22",24,0.996835443037975,22,"GunPointMaleVersusFemale"
"Moment 1",1,0.762658227848101,23,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.772151898734177,23,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,23,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,23,"GunPointMaleVersusFemale"
"catch22",24,0.996835443037975,23,"GunPointMaleVersusFemale"
"Moment 1",1,0.746835443037975,24,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.772151898734177,24,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,24,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,24,"GunPointMaleVersusFemale"
"catch22",24,0.993670886075949,24,"GunPointMaleVersusFemale"
"Moment 1",1,0.737341772151899,25,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.743670886075949,25,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,25,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,25,"GunPointMaleVersusFemale"
"catch22",24,0.993670886075949,25,"GunPointMaleVersusFemale"
"Moment 1",1,0.743670886075949,26,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.765822784810127,26,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,26,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,26,"GunPointMaleVersusFemale"
"catch22",24,0.996835443037975,26,"GunPointMaleVersusFemale"
"Moment 1",1,0.740506329113924,27,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.762658227848101,27,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,27,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,1,27,"GunPointMaleVersusFemale"
"catch22",24,0.981012658227848,27,"GunPointMaleVersusFemale"
"Moment 1",1,0.740506329113924,28,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.778481012658228,28,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.993670886075949,28,"GunPointMaleVersusFemale"
"Moments 1,2,3,4",4,0.996835443037975,28,"GunPointMaleVersusFemale"
"catch22",24,0.984177215189873,28,"GunPointMaleVersusFemale"
"Moment 1",1,0.734177215189873,29,"GunPointMaleVersusFemale"
"Moments 1,2",2,0.784810126582278,29,"GunPointMaleVersusFemale"
"Moments 1,2,3",3,0.996835443037975,29,"GunPointMaleVersusFemale"
