"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.859341825902335,1,"ElectricDeviceDetection"
"Moments 1,2",2,0.859341825902335,1,"ElectricDeviceDetection"
"Moments 1,2,3",3,0.859341825902335,1,"ElectricDeviceDetection"
"Moments 1,2,3,4",4,0.859341825902335,1,"ElectricDeviceDetection"
"catch22",24,0.863588110403397,1,"ElectricDeviceDetection"
"Moment 1",1,0.859341825902335,2,"ElectricDeviceDetection"
"Moments 1,2",2,0.859341825902335,2,"ElectricDeviceDetection"
"Moments 1,2,3",3,0.859341825902335,2,"ElectricDeviceDetection"
"Moments 1,2,3,4",4,0.859341825902335,2,"ElectricDeviceDetection"
"catch22",24,0.872346072186836,2,"ElectricDeviceDetection"
"Moment 1",1,0.859341825902335,3,"ElectricDeviceDetection"
"Moments 1,2",2,0.859341825902335,3,"ElectricDeviceDetection"
"Moments 1,2,3",3,0.859341825902335,3,"ElectricDeviceDetection"
"Moments 1,2,3,4",4,0.859341825902335,3,"ElectricDeviceDetection"
"catch22",24,0.879777070063694,3,"ElectricDeviceDetection"
"Moment 1",1,0.859341825902335,4,"ElectricDeviceDetection"
"Moments 1,2",2,0.859341825902335,4,"ElectricDeviceDetection"
"Moments 1,2,3",3,0.859341825902335,4,"ElectricDeviceDetection"
"Moments 1,2,3,4",4,0.859341825902335,4,"ElectricDeviceDetection"
"catch22",24,0.865711252653928,4,"ElectricDeviceDetection"
"Moment 1",1,0.859341825902335,5,"ElectricDeviceDetection"
"Moments 1,2",2,0.859341825902335,5,"ElectricDeviceDetection"
"Moments 1,2,3",3,0.859341825902335,5,"ElectricDeviceDetection"
"Moments 1,2,3,4",4,0.859341825902335,5,"ElectricDeviceDetection"
"catch22",24,0.877388535031847,5,"ElectricDeviceDetection"
"Moment 1",1,0.859341825902335,6,"ElectricDeviceDetection"
"Moments 1,2",2,0.859341825902335,6,"ElectricDeviceDetection"
"Moments 1,2,3",3,0.859341825902335,6,"ElectricDeviceDetection"
"Moments 1,2,3,4",4,0.859341825902335,6,"ElectricDeviceDetection"
"catch22",24,0.856687898089172,6,"ElectricDeviceDetection"
"Moment 1",1,0.859341825902335,7,"ElectricDeviceDetection"
"Moments 1,2",2,0.859341825902335,7,"ElectricDeviceDetection"
"Moments 1,2,3",3,0.859341825902335,7,"ElectricDeviceDetection"
"Moments 1,2,3,4",4,0.859341825902335,7,"ElectricDeviceDetection"
"catch22",24,0.874469214437367,7,"ElectricDeviceDetection"
"Moment 1",1,0.859341825902335,8,"ElectricDeviceDetection"
