"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.0233333333333333,1,"ShapesAll"
"Moments 1,2",2,0.0216666666666667,1,"ShapesAll"
"Moments 1,2,3",3,0.0983333333333333,1,"ShapesAll"
"Moments 1,2,3,4",4,0.213333333333333,1,"ShapesAll"
"catch22",24,0.621666666666667,1,"ShapesAll"
"Moment 1",1,0.0216666666666667,2,"ShapesAll"
"Moments 1,2",2,0.0116666666666667,2,"ShapesAll"
"Moments 1,2,3",3,0.0833333333333333,2,"ShapesAll"
"Moments 1,2,3,4",4,0.205,2,"ShapesAll"
"catch22",24,0.623333333333333,2,"ShapesAll"
"Moment 1",1,0.0183333333333333,3,"ShapesAll"
"Moments 1,2",2,0.03,3,"ShapesAll"
"Moments 1,2,3",3,0.095,3,"ShapesAll"
"Moments 1,2,3,4",4,0.203333333333333,3,"ShapesAll"
"catch22",24,0.645,3,"ShapesAll"
"Moment 1",1,0.00833333333333333,4,"ShapesAll"
"Moments 1,2",2,0.0133333333333333,4,"ShapesAll"
"Moments 1,2,3",3,0.0833333333333333,4,"ShapesAll"
"Moments 1,2,3,4",4,0.178333333333333,4,"ShapesAll"
"catch22",24,0.641666666666667,4,"ShapesAll"
"Moment 1",1,0.025,5,"ShapesAll"
"Moments 1,2",2,0.025,5,"ShapesAll"
"Moments 1,2,3",3,0.095,5,"ShapesAll"
"Moments 1,2,3,4",4,0.216666666666667,5,"ShapesAll"
"catch22",24,0.666666666666667,5,"ShapesAll"
"Moment 1",1,0.0233333333333333,6,"ShapesAll"
"Moments 1,2",2,0.0233333333333333,6,"ShapesAll"
"Moments 1,2,3",3,0.0916666666666667,6,"ShapesAll"
"Moments 1,2,3,4",4,0.178333333333333,6,"ShapesAll"
"catch22",24,0.651666666666667,6,"ShapesAll"
"Moment 1",1,0.0233333333333333,7,"ShapesAll"
"Moments 1,2",2,0.015,7,"ShapesAll"
"Moments 1,2,3",3,0.095,7,"ShapesAll"
"Moments 1,2,3,4",4,0.21,7,"ShapesAll"
"catch22",24,0.678333333333333,7,"ShapesAll"
"Moment 1",1,0.0366666666666667,8,"ShapesAll"
"Moments 1,2",2,0.04,8,"ShapesAll"
"Moments 1,2,3",3,0.0916666666666667,8,"ShapesAll"
