"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.42,1,"Rock"
"Moments 1,2",2,0.5,1,"Rock"
"Moments 1,2,3",3,0.58,1,"Rock"
"Moments 1,2,3,4",4,0.58,1,"Rock"
"catch22",23,0.78,1,"Rock"
"Moment 1",1,0.38,2,"Rock"
"Moments 1,2",2,0.5,2,"Rock"
"Moments 1,2,3",3,0.62,2,"Rock"
"Moments 1,2,3,4",4,0.54,2,"Rock"
"catch22",23,0.62,2,"Rock"
"Moment 1",1,0.44,3,"Rock"
"Moments 1,2",2,0.52,3,"Rock"
"Moments 1,2,3",3,0.58,3,"Rock"
"Moments 1,2,3,4",4,0.6,3,"Rock"
"catch22",23,0.76,3,"Rock"
"Moment 1",1,0.36,4,"Rock"
"Moments 1,2",2,0.46,4,"Rock"
"Moments 1,2,3",3,0.58,4,"Rock"
"Moments 1,2,3,4",4,0.6,4,"Rock"
"catch22",23,0.72,4,"Rock"
"Moment 1",1,0.48,5,"Rock"
"Moments 1,2",2,0.52,5,"Rock"
"Moments 1,2,3",3,0.56,5,"Rock"
"Moments 1,2,3,4",4,0.46,5,"Rock"
"catch22",23,0.74,5,"Rock"
"Moment 1",1,0.22,6,"Rock"
"Moments 1,2",2,0.42,6,"Rock"
"Moments 1,2,3",3,0.44,6,"Rock"
"Moments 1,2,3,4",4,0.46,6,"Rock"
"catch22",23,0.7,6,"Rock"
"Moment 1",1,0.36,7,"Rock"
"Moments 1,2",2,0.52,7,"Rock"
"Moments 1,2,3",3,0.58,7,"Rock"
"Moments 1,2,3,4",4,0.42,7,"Rock"
"catch22",23,0.72,7,"Rock"
"Moment 1",1,0.42,8,"Rock"
"Moments 1,2",2,0.54,8,"Rock"
"Moments 1,2,3",3,0.6,8,"Rock"
"Moments 1,2,3,4",4,0.52,8,"Rock"
"catch22",23,0.76,8,"Rock"
"Moment 1",1,0.4,9,"Rock"
"Moments 1,2",2,0.46,9,"Rock"
"Moments 1,2,3",3,0.54,9,"Rock"
"Moments 1,2,3,4",4,0.5,9,"Rock"
"catch22",23,0.64,9,"Rock"
"Moment 1",1,0.46,10,"Rock"
"Moments 1,2",2,0.52,10,"Rock"
"Moments 1,2,3",3,0.64,10,"Rock"
"Moments 1,2,3,4",4,0.54,10,"Rock"
"catch22",23,0.74,10,"Rock"
"Moment 1",1,0.42,11,"Rock"
"Moments 1,2",2,0.54,11,"Rock"
"Moments 1,2,3",3,0.56,11,"Rock"
"Moments 1,2,3,4",4,0.5,11,"Rock"
"catch22",23,0.74,11,"Rock"
"Moment 1",1,0.48,12,"Rock"
"Moments 1,2",2,0.52,12,"Rock"
"Moments 1,2,3",3,0.62,12,"Rock"
"Moments 1,2,3,4",4,0.66,12,"Rock"
"catch22",23,0.76,12,"Rock"
"Moment 1",1,0.34,13,"Rock"
"Moments 1,2",2,0.54,13,"Rock"
"Moments 1,2,3",3,0.46,13,"Rock"
"Moments 1,2,3,4",4,0.58,13,"Rock"
"catch22",23,0.72,13,"Rock"
"Moment 1",1,0.34,14,"Rock"
"Moments 1,2",2,0.38,14,"Rock"
"Moments 1,2,3",3,0.48,14,"Rock"
"Moments 1,2,3,4",4,0.46,14,"Rock"
"catch22",23,0.64,14,"Rock"
"Moment 1",1,0.4,15,"Rock"
"Moments 1,2",2,0.48,15,"Rock"
"Moments 1,2,3",3,0.52,15,"Rock"
"Moments 1,2,3,4",4,0.58,15,"Rock"
"catch22",23,0.64,15,"Rock"
"Moment 1",1,0.36,16,"Rock"
"Moments 1,2",2,0.48,16,"Rock"
"Moments 1,2,3",3,0.54,16,"Rock"
"Moments 1,2,3,4",4,0.56,16,"Rock"
"catch22",23,0.88,16,"Rock"
"Moment 1",1,0.38,17,"Rock"
"Moments 1,2",2,0.56,17,"Rock"
"Moments 1,2,3",3,0.6,17,"Rock"
"Moments 1,2,3,4",4,0.56,17,"Rock"
"catch22",23,0.68,17,"Rock"
"Moment 1",1,0.4,18,"Rock"
"Moments 1,2",2,0.5,18,"Rock"
"Moments 1,2,3",3,0.58,18,"Rock"
"Moments 1,2,3,4",4,0.54,18,"Rock"
"catch22",23,0.78,18,"Rock"
"Moment 1",1,0.44,19,"Rock"
"Moments 1,2",2,0.5,19,"Rock"
"Moments 1,2,3",3,0.56,19,"Rock"
"Moments 1,2,3,4",4,0.52,19,"Rock"
"catch22",23,0.56,19,"Rock"
"Moment 1",1,0.48,20,"Rock"
"Moments 1,2",2,0.52,20,"Rock"
"Moments 1,2,3",3,0.52,20,"Rock"
"Moments 1,2,3,4",4,0.54,20,"Rock"
"catch22",23,0.64,20,"Rock"
"Moment 1",1,0.46,21,"Rock"
"Moments 1,2",2,0.54,21,"Rock"
"Moments 1,2,3",3,0.56,21,"Rock"
"Moments 1,2,3,4",4,0.56,21,"Rock"
"catch22",23,0.7,21,"Rock"
"Moment 1",1,0.48,22,"Rock"
"Moments 1,2",2,0.54,22,"Rock"
"Moments 1,2,3",3,0.52,22,"Rock"
"Moments 1,2,3,4",4,0.52,22,"Rock"
"catch22",23,0.84,22,"Rock"
"Moment 1",1,0.42,23,"Rock"
"Moments 1,2",2,0.5,23,"Rock"
"Moments 1,2,3",3,0.62,23,"Rock"
"Moments 1,2,3,4",4,0.52,23,"Rock"
"catch22",23,0.7,23,"Rock"
"Moment 1",1,0.36,24,"Rock"
"Moments 1,2",2,0.46,24,"Rock"
"Moments 1,2,3",3,0.54,24,"Rock"
"Moments 1,2,3,4",4,0.5,24,"Rock"
"catch22",23,0.74,24,"Rock"
"Moment 1",1,0.46,25,"Rock"
"Moments 1,2",2,0.52,25,"Rock"
"Moments 1,2,3",3,0.56,25,"Rock"
"Moments 1,2,3,4",4,0.52,25,"Rock"
"catch22",23,0.7,25,"Rock"
"Moment 1",1,0.34,26,"Rock"
"Moments 1,2",2,0.48,26,"Rock"
"Moments 1,2,3",3,0.54,26,"Rock"
"Moments 1,2,3,4",4,0.52,26,"Rock"
"catch22",23,0.66,26,"Rock"
"Moment 1",1,0.28,27,"Rock"
"Moments 1,2",2,0.38,27,"Rock"
"Moments 1,2,3",3,0.46,27,"Rock"
"Moments 1,2,3,4",4,0.48,27,"Rock"
"catch22",23,0.74,27,"Rock"
"Moment 1",1,0.42,28,"Rock"
"Moments 1,2",2,0.46,28,"Rock"
"Moments 1,2,3",3,0.6,28,"Rock"
"Moments 1,2,3,4",4,0.52,28,"Rock"
"catch22",23,0.64,28,"Rock"
"Moment 1",1,0.44,29,"Rock"
"Moments 1,2",2,0.5,29,"Rock"
"Moments 1,2,3",3,0.58,29,"Rock"
"Moments 1,2,3,4",4,0.52,29,"Rock"
"catch22",23,0.66,29,"Rock"
"Moment 1",1,0.4,30,"Rock"
"Moments 1,2",2,0.54,30,"Rock"
"Moments 1,2,3",3,0.52,30,"Rock"
"Moments 1,2,3,4",4,0.62,30,"Rock"
"catch22",23,0.72,30,"Rock"
"Moment 1",1,0.36,31,"Rock"
"Moments 1,2",2,0.52,31,"Rock"
"Moments 1,2,3",3,0.54,31,"Rock"
"Moments 1,2,3,4",4,0.6,31,"Rock"
"catch22",23,0.74,31,"Rock"
"Moment 1",1,0.46,32,"Rock"
"Moments 1,2",2,0.52,32,"Rock"
"Moments 1,2,3",3,0.56,32,"Rock"
"Moments 1,2,3,4",4,0.54,32,"Rock"
"catch22",23,0.68,32,"Rock"
"Moment 1",1,0.38,33,"Rock"
"Moments 1,2",2,0.46,33,"Rock"
"Moments 1,2,3",3,0.54,33,"Rock"
"Moments 1,2,3,4",4,0.54,33,"Rock"
"catch22",23,0.76,33,"Rock"
"Moment 1",1,0.44,34,"Rock"
"Moments 1,2",2,0.48,34,"Rock"
"Moments 1,2,3",3,0.48,34,"Rock"
"Moments 1,2,3,4",4,0.48,34,"Rock"
"catch22",23,0.72,34,"Rock"
"Moment 1",1,0.34,35,"Rock"
"Moments 1,2",2,0.46,35,"Rock"
"Moments 1,2,3",3,0.5,35,"Rock"
"Moments 1,2,3,4",4,0.52,35,"Rock"
"catch22",23,0.68,35,"Rock"
"Moment 1",1,0.42,36,"Rock"
"Moments 1,2",2,0.5,36,"Rock"
"Moments 1,2,3",3,0.5,36,"Rock"
"Moments 1,2,3,4",4,0.48,36,"Rock"
"catch22",23,0.66,36,"Rock"
"Moment 1",1,0.4,37,"Rock"
"Moments 1,2",2,0.48,37,"Rock"
"Moments 1,2,3",3,0.5,37,"Rock"
"Moments 1,2,3,4",4,0.54,37,"Rock"
"catch22",23,0.8,37,"Rock"
"Moment 1",1,0.36,38,"Rock"
"Moments 1,2",2,0.54,38,"Rock"
"Moments 1,2,3",3,0.6,38,"Rock"
"Moments 1,2,3,4",4,0.56,38,"Rock"
"catch22",23,0.74,38,"Rock"
"Moment 1",1,0.32,39,"Rock"
"Moments 1,2",2,0.38,39,"Rock"
"Moments 1,2,3",3,0.64,39,"Rock"
"Moments 1,2,3,4",4,0.6,39,"Rock"
"catch22",23,0.66,39,"Rock"
"Moment 1",1,0.4,40,"Rock"
"Moments 1,2",2,0.48,40,"Rock"
"Moments 1,2,3",3,0.62,40,"Rock"
"Moments 1,2,3,4",4,0.48,40,"Rock"
"catch22",23,0.74,40,"Rock"
"Moment 1",1,0.46,41,"Rock"
"Moments 1,2",2,0.52,41,"Rock"
"Moments 1,2,3",3,0.56,41,"Rock"
"Moments 1,2,3,4",4,0.58,41,"Rock"
"catch22",23,0.78,41,"Rock"
"Moment 1",1,0.32,42,"Rock"
"Moments 1,2",2,0.42,42,"Rock"
"Moments 1,2,3",3,0.56,42,"Rock"
"Moments 1,2,3,4",4,0.56,42,"Rock"
"catch22",23,0.46,42,"Rock"
"Moment 1",1,0.42,43,"Rock"
"Moments 1,2",2,0.52,43,"Rock"
"Moments 1,2,3",3,0.58,43,"Rock"
"Moments 1,2,3,4",4,0.54,43,"Rock"
