"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.207792207792208,1,"Haptics"
"Moments 1,2",2,0.194805194805195,1,"Haptics"
"Moments 1,2,3",3,0.224025974025974,1,"Haptics"
"Moments 1,2,3,4",4,0.295454545454545,1,"Haptics"
"catch22",24,0.350649350649351,1,"Haptics"
"Moment 1",1,0.159090909090909,2,"Haptics"
"Moments 1,2",2,0.175324675324675,2,"Haptics"
"Moments 1,2,3",3,0.201298701298701,2,"Haptics"
"Moments 1,2,3,4",4,0.288961038961039,2,"Haptics"
"catch22",24,0.396103896103896,2,"Haptics"
"Moment 1",1,0.155844155844156,3,"Haptics"
"Moments 1,2",2,0.152597402597403,3,"Haptics"
"Moments 1,2,3",3,0.207792207792208,3,"Haptics"
"Moments 1,2,3,4",4,0.25,3,"Haptics"
"catch22",24,0.37012987012987,3,"Haptics"
"Moment 1",1,0.191558441558442,4,"Haptics"
"Moments 1,2",2,0.194805194805195,4,"Haptics"
"Moments 1,2,3",3,0.217532467532468,4,"Haptics"
"Moments 1,2,3,4",4,0.26948051948052,4,"Haptics"
"catch22",24,0.36038961038961,4,"Haptics"
"Moment 1",1,0.204545454545455,5,"Haptics"
"Moments 1,2",2,0.220779220779221,5,"Haptics"
"Moments 1,2,3",3,0.233766233766234,5,"Haptics"
"Moments 1,2,3,4",4,0.295454545454545,5,"Haptics"
"catch22",24,0.337662337662338,5,"Haptics"
"Moment 1",1,0.201298701298701,6,"Haptics"
"Moments 1,2",2,0.172077922077922,6,"Haptics"
"Moments 1,2,3",3,0.217532467532468,6,"Haptics"
"Moments 1,2,3,4",4,0.26948051948052,6,"Haptics"
"catch22",24,0.334415584415584,6,"Haptics"
"Moment 1",1,0.217532467532468,7,"Haptics"
"Moments 1,2",2,0.204545454545455,7,"Haptics"
"Moments 1,2,3",3,0.214285714285714,7,"Haptics"
"Moments 1,2,3,4",4,0.288961038961039,7,"Haptics"
"catch22",24,0.37987012987013,7,"Haptics"
"Moment 1",1,0.188311688311688,8,"Haptics"
"Moments 1,2",2,0.194805194805195,8,"Haptics"
"Moments 1,2,3",3,0.201298701298701,8,"Haptics"
"Moments 1,2,3,4",4,0.233766233766234,8,"Haptics"
"catch22",24,0.327922077922078,8,"Haptics"
"Moment 1",1,0.198051948051948,9,"Haptics"
"Moments 1,2",2,0.207792207792208,9,"Haptics"
"Moments 1,2,3",3,0.211038961038961,9,"Haptics"
"Moments 1,2,3,4",4,0.262987012987013,9,"Haptics"
"catch22",24,0.37012987012987,9,"Haptics"
"Moment 1",1,0.188311688311688,10,"Haptics"
"Moments 1,2",2,0.188311688311688,10,"Haptics"
"Moments 1,2,3",3,0.237012987012987,10,"Haptics"
"Moments 1,2,3,4",4,0.285714285714286,10,"Haptics"
"catch22",24,0.347402597402597,10,"Haptics"
"Moment 1",1,0.185064935064935,11,"Haptics"
"Moments 1,2",2,0.194805194805195,11,"Haptics"
"Moments 1,2,3",3,0.204545454545455,11,"Haptics"
"Moments 1,2,3,4",4,0.253246753246753,11,"Haptics"
"catch22",24,0.38961038961039,11,"Haptics"
"Moment 1",1,0.185064935064935,12,"Haptics"
"Moments 1,2",2,0.181818181818182,12,"Haptics"
"Moments 1,2,3",3,0.217532467532468,12,"Haptics"
"Moments 1,2,3,4",4,0.233766233766234,12,"Haptics"
"catch22",24,0.357142857142857,12,"Haptics"
"Moment 1",1,0.188311688311688,13,"Haptics"
"Moments 1,2",2,0.178571428571429,13,"Haptics"
"Moments 1,2,3",3,0.191558441558442,13,"Haptics"
"Moments 1,2,3,4",4,0.224025974025974,13,"Haptics"
"catch22",24,0.334415584415584,13,"Haptics"
"Moment 1",1,0.172077922077922,14,"Haptics"
"Moments 1,2",2,0.191558441558442,14,"Haptics"
"Moments 1,2,3",3,0.243506493506494,14,"Haptics"
"Moments 1,2,3,4",4,0.275974025974026,14,"Haptics"
"catch22",24,0.334415584415584,14,"Haptics"
"Moment 1",1,0.181818181818182,15,"Haptics"
"Moments 1,2",2,0.217532467532468,15,"Haptics"
"Moments 1,2,3",3,0.23051948051948,15,"Haptics"
"Moments 1,2,3,4",4,0.279220779220779,15,"Haptics"
"catch22",24,0.344155844155844,15,"Haptics"
"Moment 1",1,0.178571428571429,16,"Haptics"
"Moments 1,2",2,0.172077922077922,16,"Haptics"
"Moments 1,2,3",3,0.207792207792208,16,"Haptics"
"Moments 1,2,3,4",4,0.256493506493506,16,"Haptics"
"catch22",24,0.357142857142857,16,"Haptics"
"Moment 1",1,0.198051948051948,17,"Haptics"
"Moments 1,2",2,0.188311688311688,17,"Haptics"
"Moments 1,2,3",3,0.23051948051948,17,"Haptics"
"Moments 1,2,3,4",4,0.295454545454545,17,"Haptics"
"catch22",24,0.363636363636364,17,"Haptics"
"Moment 1",1,0.207792207792208,18,"Haptics"
"Moments 1,2",2,0.204545454545455,18,"Haptics"
"Moments 1,2,3",3,0.224025974025974,18,"Haptics"
"Moments 1,2,3,4",4,0.279220779220779,18,"Haptics"
"catch22",24,0.353896103896104,18,"Haptics"
"Moment 1",1,0.207792207792208,19,"Haptics"
"Moments 1,2",2,0.194805194805195,19,"Haptics"
"Moments 1,2,3",3,0.224025974025974,19,"Haptics"
"Moments 1,2,3,4",4,0.25974025974026,19,"Haptics"
"catch22",24,0.347402597402597,19,"Haptics"
"Moment 1",1,0.207792207792208,20,"Haptics"
"Moments 1,2",2,0.181818181818182,20,"Haptics"
"Moments 1,2,3",3,0.224025974025974,20,"Haptics"
"Moments 1,2,3,4",4,0.295454545454545,20,"Haptics"
"catch22",24,0.402597402597403,20,"Haptics"
"Moment 1",1,0.207792207792208,21,"Haptics"
"Moments 1,2",2,0.23051948051948,21,"Haptics"
"Moments 1,2,3",3,0.227272727272727,21,"Haptics"
"Moments 1,2,3,4",4,0.292207792207792,21,"Haptics"
"catch22",24,0.37987012987013,21,"Haptics"
"Moment 1",1,0.201298701298701,22,"Haptics"
"Moments 1,2",2,0.220779220779221,22,"Haptics"
"Moments 1,2,3",3,0.233766233766234,22,"Haptics"
"Moments 1,2,3,4",4,0.311688311688312,22,"Haptics"
"catch22",24,0.402597402597403,22,"Haptics"
"Moment 1",1,0.207792207792208,23,"Haptics"
"Moments 1,2",2,0.207792207792208,23,"Haptics"
"Moments 1,2,3",3,0.204545454545455,23,"Haptics"
"Moments 1,2,3,4",4,0.295454545454545,23,"Haptics"
"catch22",24,0.38961038961039,23,"Haptics"
"Moment 1",1,0.178571428571429,24,"Haptics"
"Moments 1,2",2,0.172077922077922,24,"Haptics"
"Moments 1,2,3",3,0.217532467532468,24,"Haptics"
"Moments 1,2,3,4",4,0.266233766233766,24,"Haptics"
"catch22",24,0.350649350649351,24,"Haptics"
"Moment 1",1,0.204545454545455,25,"Haptics"
"Moments 1,2",2,0.185064935064935,25,"Haptics"
"Moments 1,2,3",3,0.214285714285714,25,"Haptics"
"Moments 1,2,3,4",4,0.272727272727273,25,"Haptics"
"catch22",24,0.399350649350649,25,"Haptics"
"Moment 1",1,0.194805194805195,26,"Haptics"
"Moments 1,2",2,0.136363636363636,26,"Haptics"
"Moments 1,2,3",3,0.194805194805195,26,"Haptics"
"Moments 1,2,3,4",4,0.285714285714286,26,"Haptics"
"catch22",24,0.344155844155844,26,"Haptics"
"Moment 1",1,0.198051948051948,27,"Haptics"
"Moments 1,2",2,0.207792207792208,27,"Haptics"
"Moments 1,2,3",3,0.233766233766234,27,"Haptics"
"Moments 1,2,3,4",4,0.292207792207792,27,"Haptics"
"catch22",24,0.386363636363636,27,"Haptics"
"Moment 1",1,0.207792207792208,28,"Haptics"
"Moments 1,2",2,0.191558441558442,28,"Haptics"
"Moments 1,2,3",3,0.207792207792208,28,"Haptics"
"Moments 1,2,3,4",4,0.266233766233766,28,"Haptics"
"catch22",24,0.36038961038961,28,"Haptics"
"Moment 1",1,0.207792207792208,29,"Haptics"
"Moments 1,2",2,0.207792207792208,29,"Haptics"
"Moments 1,2,3",3,0.25,29,"Haptics"
"Moments 1,2,3,4",4,0.282467532467532,29,"Haptics"
"catch22",24,0.357142857142857,29,"Haptics"
"Moment 1",1,0.181818181818182,30,"Haptics"
"Moments 1,2",2,0.217532467532468,30,"Haptics"
"Moments 1,2,3",3,0.201298701298701,30,"Haptics"
"Moments 1,2,3,4",4,0.243506493506494,30,"Haptics"
"catch22",24,0.37012987012987,30,"Haptics"
