"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.532552083333333,1,"ChlorineConcentration"
"Moments 1,2",2,0.532552083333333,1,"ChlorineConcentration"
"Moments 1,2,3",3,0.532552083333333,1,"ChlorineConcentration"
"Moments 1,2,3,4",4,0.5375,1,"ChlorineConcentration"
"catch22",24,0.5703125,1,"ChlorineConcentration"
"Moment 1",1,0.532552083333333,2,"ChlorineConcentration"
"Moments 1,2",2,0.532552083333333,2,"ChlorineConcentration"
"Moments 1,2,3",3,0.532552083333333,2,"ChlorineConcentration"
"Moments 1,2,3,4",4,0.540625,2,"ChlorineConcentration"
"catch22",24,0.5671875,2,"ChlorineConcentration"
"Moment 1",1,0.532552083333333,3,"ChlorineConcentration"
"Moments 1,2",2,0.532552083333333,3,"ChlorineConcentration"
"Moments 1,2,3",3,0.532552083333333,3,"ChlorineConcentration"
"Moments 1,2,3,4",4,0.539583333333333,3,"ChlorineConcentration"
"catch22",24,0.566666666666667,3,"ChlorineConcentration"
"Moment 1",1,0.532552083333333,4,"ChlorineConcentration"
"Moments 1,2",2,0.532552083333333,4,"ChlorineConcentration"
"Moments 1,2,3",3,0.532552083333333,4,"ChlorineConcentration"
"Moments 1,2,3,4",4,0.540364583333333,4,"ChlorineConcentration"
"catch22",24,0.559114583333333,4,"ChlorineConcentration"
"Moment 1",1,0.532552083333333,5,"ChlorineConcentration"
"Moments 1,2",2,0.532552083333333,5,"ChlorineConcentration"
"Moments 1,2,3",3,0.532552083333333,5,"ChlorineConcentration"
"Moments 1,2,3,4",4,0.541666666666667,5,"ChlorineConcentration"
"catch22",24,0.565625,5,"ChlorineConcentration"
"Moment 1",1,0.532552083333333,6,"ChlorineConcentration"
"Moments 1,2",2,0.532552083333333,6,"ChlorineConcentration"
"Moments 1,2,3",3,0.532552083333333,6,"ChlorineConcentration"
"Moments 1,2,3,4",4,0.5421875,6,"ChlorineConcentration"
"catch22",24,0.553645833333333,6,"ChlorineConcentration"
"Moment 1",1,0.532552083333333,7,"ChlorineConcentration"
