"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.455445544554455,1,"Colposcopy"
"Moments 1,2",2,0.405940594059406,1,"Colposcopy"
"Moments 1,2,3",3,0.396039603960396,1,"Colposcopy"
"Moments 1,2,3,4",4,0.405940594059406,1,"Colposcopy"
"catch22",24,0.227722772277228,1,"Colposcopy"
"Moment 1",1,0.475247524752475,2,"Colposcopy"
"Moments 1,2",2,0.475247524752475,2,"Colposcopy"
"Moments 1,2,3",3,0.475247524752475,2,"Colposcopy"
"Moments 1,2,3,4",4,0.475247524752475,2,"Colposcopy"
"catch22",24,0.277227722772277,2,"Colposcopy"
"Moment 1",1,0.455445544554455,3,"Colposcopy"
"Moments 1,2",2,0.455445544554455,3,"Colposcopy"
"Moments 1,2,3",3,0.455445544554455,3,"Colposcopy"
"Moments 1,2,3,4",4,0.435643564356436,3,"Colposcopy"
"catch22",24,0.306930693069307,3,"Colposcopy"
"Moment 1",1,0.435643564356436,4,"Colposcopy"
"Moments 1,2",2,0.425742574257426,4,"Colposcopy"
"Moments 1,2,3",3,0.425742574257426,4,"Colposcopy"
"Moments 1,2,3,4",4,0.415841584158416,4,"Colposcopy"
"catch22",24,0.217821782178218,4,"Colposcopy"
"Moment 1",1,0.425742574257426,5,"Colposcopy"
"Moments 1,2",2,0.396039603960396,5,"Colposcopy"
"Moments 1,2,3",3,0.386138613861386,5,"Colposcopy"
"Moments 1,2,3,4",4,0.386138613861386,5,"Colposcopy"
"catch22",24,0.227722772277228,5,"Colposcopy"
"Moment 1",1,0.425742574257426,6,"Colposcopy"
"Moments 1,2",2,0.396039603960396,6,"Colposcopy"
"Moments 1,2,3",3,0.405940594059406,6,"Colposcopy"
"Moments 1,2,3,4",4,0.415841584158416,6,"Colposcopy"
"catch22",24,0.306930693069307,6,"Colposcopy"
"Moment 1",1,0.425742574257426,7,"Colposcopy"
"Moments 1,2",2,0.435643564356436,7,"Colposcopy"
"Moments 1,2,3",3,0.405940594059406,7,"Colposcopy"
"Moments 1,2,3,4",4,0.356435643564356,7,"Colposcopy"
"catch22",24,0.277227722772277,7,"Colposcopy"
"Moment 1",1,0.415841584158416,8,"Colposcopy"
"Moments 1,2",2,0.425742574257426,8,"Colposcopy"
"Moments 1,2,3",3,0.415841584158416,8,"Colposcopy"
"Moments 1,2,3,4",4,0.415841584158416,8,"Colposcopy"
"catch22",24,0.326732673267327,8,"Colposcopy"
"Moment 1",1,0.455445544554455,9,"Colposcopy"
"Moments 1,2",2,0.445544554455446,9,"Colposcopy"
"Moments 1,2,3",3,0.445544554455446,9,"Colposcopy"
"Moments 1,2,3,4",4,0.425742574257426,9,"Colposcopy"
"catch22",24,0.316831683168317,9,"Colposcopy"
"Moment 1",1,0.465346534653465,10,"Colposcopy"
"Moments 1,2",2,0.425742574257426,10,"Colposcopy"
"Moments 1,2,3",3,0.425742574257426,10,"Colposcopy"
"Moments 1,2,3,4",4,0.415841584158416,10,"Colposcopy"
"catch22",24,0.267326732673267,10,"Colposcopy"
"Moment 1",1,0.435643564356436,11,"Colposcopy"
"Moments 1,2",2,0.425742574257426,11,"Colposcopy"
"Moments 1,2,3",3,0.435643564356436,11,"Colposcopy"
"Moments 1,2,3,4",4,0.415841584158416,11,"Colposcopy"
"catch22",24,0.287128712871287,11,"Colposcopy"
"Moment 1",1,0.396039603960396,12,"Colposcopy"
"Moments 1,2",2,0.396039603960396,12,"Colposcopy"
"Moments 1,2,3",3,0.386138613861386,12,"Colposcopy"
"Moments 1,2,3,4",4,0.396039603960396,12,"Colposcopy"
"catch22",24,0.277227722772277,12,"Colposcopy"
"Moment 1",1,0.425742574257426,13,"Colposcopy"
"Moments 1,2",2,0.425742574257426,13,"Colposcopy"
"Moments 1,2,3",3,0.445544554455446,13,"Colposcopy"
"Moments 1,2,3,4",4,0.445544554455446,13,"Colposcopy"
"catch22",24,0.247524752475248,13,"Colposcopy"
"Moment 1",1,0.445544554455446,14,"Colposcopy"
"Moments 1,2",2,0.475247524752475,14,"Colposcopy"
"Moments 1,2,3",3,0.475247524752475,14,"Colposcopy"
"Moments 1,2,3,4",4,0.485148514851485,14,"Colposcopy"
"catch22",24,0.267326732673267,14,"Colposcopy"
"Moment 1",1,0.465346534653465,15,"Colposcopy"
"Moments 1,2",2,0.455445544554455,15,"Colposcopy"
"Moments 1,2,3",3,0.455445544554455,15,"Colposcopy"
"Moments 1,2,3,4",4,0.445544554455446,15,"Colposcopy"
"catch22",24,0.217821782178218,15,"Colposcopy"
"Moment 1",1,0.475247524752475,16,"Colposcopy"
"Moments 1,2",2,0.475247524752475,16,"Colposcopy"
"Moments 1,2,3",3,0.465346534653465,16,"Colposcopy"
"Moments 1,2,3,4",4,0.465346534653465,16,"Colposcopy"
"catch22",24,0.247524752475248,16,"Colposcopy"
"Moment 1",1,0.425742574257426,17,"Colposcopy"
"Moments 1,2",2,0.435643564356436,17,"Colposcopy"
"Moments 1,2,3",3,0.405940594059406,17,"Colposcopy"
"Moments 1,2,3,4",4,0.386138613861386,17,"Colposcopy"
"catch22",24,0.267326732673267,17,"Colposcopy"
"Moment 1",1,0.435643564356436,18,"Colposcopy"
"Moments 1,2",2,0.415841584158416,18,"Colposcopy"
"Moments 1,2,3",3,0.415841584158416,18,"Colposcopy"
"Moments 1,2,3,4",4,0.425742574257426,18,"Colposcopy"
"catch22",24,0.247524752475248,18,"Colposcopy"
"Moment 1",1,0.405940594059406,19,"Colposcopy"
"Moments 1,2",2,0.435643564356436,19,"Colposcopy"
"Moments 1,2,3",3,0.415841584158416,19,"Colposcopy"
"Moments 1,2,3,4",4,0.415841584158416,19,"Colposcopy"
"catch22",24,0.277227722772277,19,"Colposcopy"
"Moment 1",1,0.405940594059406,20,"Colposcopy"
"Moments 1,2",2,0.415841584158416,20,"Colposcopy"
"Moments 1,2,3",3,0.405940594059406,20,"Colposcopy"
"Moments 1,2,3,4",4,0.415841584158416,20,"Colposcopy"
"catch22",24,0.356435643564356,20,"Colposcopy"
"Moment 1",1,0.445544554455446,21,"Colposcopy"
"Moments 1,2",2,0.445544554455446,21,"Colposcopy"
"Moments 1,2,3",3,0.435643564356436,21,"Colposcopy"
"Moments 1,2,3,4",4,0.435643564356436,21,"Colposcopy"
"catch22",24,0.306930693069307,21,"Colposcopy"
"Moment 1",1,0.435643564356436,22,"Colposcopy"
"Moments 1,2",2,0.415841584158416,22,"Colposcopy"
"Moments 1,2,3",3,0.386138613861386,22,"Colposcopy"
"Moments 1,2,3,4",4,0.386138613861386,22,"Colposcopy"
"catch22",24,0.316831683168317,22,"Colposcopy"
"Moment 1",1,0.435643564356436,23,"Colposcopy"
"Moments 1,2",2,0.455445544554455,23,"Colposcopy"
"Moments 1,2,3",3,0.435643564356436,23,"Colposcopy"
"Moments 1,2,3,4",4,0.425742574257426,23,"Colposcopy"
"catch22",24,0.306930693069307,23,"Colposcopy"
"Moment 1",1,0.455445544554455,24,"Colposcopy"
"Moments 1,2",2,0.435643564356436,24,"Colposcopy"
"Moments 1,2,3",3,0.445544554455446,24,"Colposcopy"
