"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.273333333333333,1,"SemgHandSubjectCh2"
"Moments 1,2",2,0.331111111111111,1,"SemgHandSubjectCh2"
"Moments 1,2,3",3,0.464444444444444,1,"SemgHandSubjectCh2"
"Moments 1,2,3,4",4,0.484444444444444,1,"SemgHandSubjectCh2"
"catch22",24,0.775555555555556,1,"SemgHandSubjectCh2"
"Moment 1",1,0.3,2,"SemgHandSubjectCh2"
"Moments 1,2",2,0.348888888888889,2,"SemgHandSubjectCh2"
"Moments 1,2,3",3,0.488888888888889,2,"SemgHandSubjectCh2"
"Moments 1,2,3,4",4,0.515555555555556,2,"SemgHandSubjectCh2"
"catch22",24,0.824444444444444,2,"SemgHandSubjectCh2"
"Moment 1",1,0.306666666666667,3,"SemgHandSubjectCh2"
"Moments 1,2",2,0.342222222222222,3,"SemgHandSubjectCh2"
"Moments 1,2,3",3,0.48,3,"SemgHandSubjectCh2"
"Moments 1,2,3,4",4,0.508888888888889,3,"SemgHandSubjectCh2"
"catch22",24,0.806666666666667,3,"SemgHandSubjectCh2"
"Moment 1",1,0.293333333333333,4,"SemgHandSubjectCh2"
"Moments 1,2",2,0.324444444444444,4,"SemgHandSubjectCh2"
"Moments 1,2,3",3,0.462222222222222,4,"SemgHandSubjectCh2"
"Moments 1,2,3,4",4,0.475555555555556,4,"SemgHandSubjectCh2"
"catch22",24,0.795555555555556,4,"SemgHandSubjectCh2"
"Moment 1",1,0.295555555555556,5,"SemgHandSubjectCh2"
"Moments 1,2",2,0.304444444444444,5,"SemgHandSubjectCh2"
"Moments 1,2,3",3,0.455555555555556,5,"SemgHandSubjectCh2"
"Moments 1,2,3,4",4,0.488888888888889,5,"SemgHandSubjectCh2"
"catch22",24,0.817777777777778,5,"SemgHandSubjectCh2"
"Moment 1",1,0.297777777777778,6,"SemgHandSubjectCh2"
"Moments 1,2",2,0.333333333333333,6,"SemgHandSubjectCh2"
"Moments 1,2,3",3,0.462222222222222,6,"SemgHandSubjectCh2"
"Moments 1,2,3,4",4,0.488888888888889,6,"SemgHandSubjectCh2"
"catch22",24,0.806666666666667,6,"SemgHandSubjectCh2"
"Moment 1",1,0.244444444444444,7,"SemgHandSubjectCh2"
"Moments 1,2",2,0.302222222222222,7,"SemgHandSubjectCh2"
"Moments 1,2,3",3,0.44,7,"SemgHandSubjectCh2"
"Moments 1,2,3,4",4,0.475555555555556,7,"SemgHandSubjectCh2"
