"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.351219512195122,1,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,1,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.658536585365854,1,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.682926829268293,1,"ProximalPhalanxTW"
"catch22",24,0.765853658536585,1,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,2,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,2,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.64390243902439,2,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.68780487804878,2,"ProximalPhalanxTW"
"catch22",24,0.765853658536585,2,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,3,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,3,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.648780487804878,3,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.668292682926829,3,"ProximalPhalanxTW"
"catch22",24,0.770731707317073,3,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,4,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,4,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.648780487804878,4,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.721951219512195,4,"ProximalPhalanxTW"
"catch22",24,0.760975609756098,4,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,5,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,5,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.64390243902439,5,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.726829268292683,5,"ProximalPhalanxTW"
"catch22",24,0.785365853658537,5,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,6,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,6,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.658536585365854,6,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.678048780487805,6,"ProximalPhalanxTW"
"catch22",24,0.804878048780488,6,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,7,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,7,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.648780487804878,7,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.717073170731707,7,"ProximalPhalanxTW"
"catch22",24,0.804878048780488,7,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,8,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,8,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.658536585365854,8,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.71219512195122,8,"ProximalPhalanxTW"
"catch22",23,0.775609756097561,8,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,9,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,9,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.653658536585366,9,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.702439024390244,9,"ProximalPhalanxTW"
"catch22",24,0.746341463414634,9,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,10,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,10,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.648780487804878,10,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.678048780487805,10,"ProximalPhalanxTW"
"catch22",24,0.809756097560976,10,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,11,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,11,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.653658536585366,11,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.682926829268293,11,"ProximalPhalanxTW"
"catch22",24,0.780487804878049,11,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,12,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,12,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.648780487804878,12,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.726829268292683,12,"ProximalPhalanxTW"
"catch22",24,0.785365853658537,12,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,13,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,13,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.653658536585366,13,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.726829268292683,13,"ProximalPhalanxTW"
"catch22",24,0.775609756097561,13,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,14,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,14,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.648780487804878,14,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.71219512195122,14,"ProximalPhalanxTW"
"catch22",24,0.765853658536585,14,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,15,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,15,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.658536585365854,15,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.692682926829268,15,"ProximalPhalanxTW"
"catch22",24,0.75609756097561,15,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,16,"ProximalPhalanxTW"
